name,code,pe
扬农化工,"600486",35.618
福能股份,"600483",11.621
中国动力,"600482",34.085
双良节能,"600481",40.161
凌云股份,"600480",33.021
杭萧钢构,"600477",20.949
华光股份,"600475",31.941
风神股份,"600469",34.133
百利电气,"600468",62.124
好当家,"600467",103.667
空港股份,"600463",130.81
洪城水业,"600461",20.833
时代新材,"600458",31.733
涪陵电力,"600452",32.19
金证股份,"600446",59.787
瑞贝卡,"600439",30.731
通威股份,"600438",37.787
片仔癀,"600436",81.966
冠豪高新,"600433",51.222
三元股份,"600429",90.199
昆药集团,"600422",17.564
现代制药,"600420",11.428
天润乳业,"600419",54.737
江淮汽车,"600418",11.889
湘电股份,"600416",62.471
小商品城,"600415",31.421
国电南瑞,"600406",30.1
动力源,"600405",100.161
红豆股份,"600400",64.545
抚顺特钢,"600399",64.252
粤泰股份,"600393",52.231
航发科技,"600391",144.308
五矿资本,"600390",3.426
龙净环保,"600388",24.581
海越股份,"600387",87.6
北巴传媒,"600386",18.31
健康元,"600380",43.737
宝光股份,"600379",69.386
宁沪高速,"600377",15.161
首开股份,"600376",18.298
华菱星马,"600375",38.714
中文传媒,"600373",18.255
中航电子,"600372",51.624
万向德农,"600371",41.708
三房巷,"600370",55.651
西南证券,"600369",30.688
五洲交通,"600368",20.571
宁波韵升,"600366",11.695
联创光电,"600363",33.429
华微电子,"600360",117.833
恒丰纸业,"600356",26.281
旭光股份,"600353",88.764
山东高速,"600350",10.062
华夏幸福,"600340",19.149
中油工程,"600339",19.155
美克家居,"600337",11.059
澳柯玛,"600336",121.25
国机汽车,"600335",17.041
白云山,"600332",26.121
宏达股份,"600331",83.228
天通股份,"600330",68.12
中新药业,"600329",27.127
大东方,"600327",19.632
西藏天路,"600326",25.868
瀚蓝环境,"600323",21.697
振华重工,"600320",125.6
亚星化学,"600319",119.375
新力金融,"600318",18.0
营口港,"600317",44.137
上海家化,"600315",106.156
农发种业,"600313",75.545
平高电气,"600312",10.699
桂东电力,"600310",22.451
华泰股份,"600308",46.282
恒顺醋业,"600305",40.432
曙光股份,"600303",89.4
标准股份,"600302",35.563
维维股份,"600300",115.25
安迪苏,"600299",17.443
安琪酵母,"600298",49.623
广汇汽车,"600297",14.874
鄂尔多斯,"600295",53.308
三峡新材,"600293",21.757
远达环保,"600292",44.789
大恒科技,"600288",126.19
江苏舜天,"600287",69.796
羚锐制药,"600285",14.8
浦东建设,"600284",18.352
钱江水利,"600283",72.765
太化股份,"600281",86.719
中央商场,"600280",73.01
重庆港九,"600279",55.364
东方创业,"600278",40.759
亿利洁能,"600277",52.083
恒瑞医药,"600276",67.12
开开实业,"600272",117.556
航天信息,"600271",25.217
赣粤高速,"600269",12.068
国电南自,"600268",106.2
北京城建,"600266",14.957
阳光照明,"600261",16.968
凯乐科技,"600260",103.659
首旅酒店,"600258",42.121
广汇能源,"600256",130.457
梦舟股份,"600255",33.0
中恒集团,"600252",29.857
两面针,"600249",117.4
延长化建,"600248",29.037
万通地产,"600246",65.722
华业资本,"600240",10.5
云南城投,"600239",25.87
桂冠电力,"600236",12.924
圆通速递,"600233",29.09
金鹰股份,"600232",83.125
城市传媒,"600229",20.31
鲁商置业,"600223",47.0
江苏阳光,"600220",35.473
南山铝业,"600219",25.5
全柴动力,"600218",26.923
浙江医药,"600216",30.417
亚星客车,"600213",35.571
西藏药业,"600211",24.618
紫江企业,"600210",33.986
生物股份,"600201",27.0
复星医药,"600196",33.215
中牧股份,"600195",26.153
长城电工,"600192",122.574
莲花健康,"600186",46.167
生益科技,"600183",30.904
瑞茂通,"600180",21.961
安通控股,"600179",52.4
东安动力,"600178",37.059
雅戈尔,"600177",6.523
中国巨石,"600176",26.703
美都能源,"600175",103.434
黄河旋风,"600172",17.02
上海建工,"600170",13.857
武汉控股,"600168",19.905
联美控股,"600167",24.591
福田汽车,"600166",34.625
天坛生物,"600161",58.039
大龙地产,"600159",33.167
建发股份,"600153",12.515
航天机电,"600151",48.379
金发科技,"600143",22.5
中青旅,"600138",35.433
当代明诚,"600136",53.28
重庆啤酒,"600132",60.946
岷江水电,"600131",19.545
太极集团,"600129",8.55
弘业股份,"600128",108.846
杭钢股份,"600126",22.125
铁龙物流,"600125",54.27
宏图高科,"600122",24.167
浙江东方,"600120",18.458
长江投资,"600119",29.261
中国卫星,"600118",71.206
三峡水利,"600116",36.435
东方航空,"600115",25.934
东睦股份,"600114",32.609
国金证券,"600109",23.054
亚盛集团,"600108",106.443
重庆路桥,"600106",13.273
永鼎股份,"600105",24.333
上汽集团,"600104",11.857
青山纸业,"600103",108.815
明星电力,"600101",34.654
同方股份,"600100",6.923
广州发展,"600098",29.258
哈高科,"600095",144.131
大名城,"600094",18.562
同济堂,"600090",20.237
特变电工,"600089",14.458
同仁堂,"600085",49.868
东风科技,"600081",33.056
金花股份,"600080",95.078
澄星股份,"600078",59.341
上海梅林,"600073",29.889
浙江富润,"600070",34.286
冠城大通,"600067",30.045
宇通客车,"600066",12.033
南京高科,"600064",12.294
皖维高新,"600063",54.0
华润双鹤,"600062",23.737
国投资本,"600061",19.768
海信电器,"600060",11.741
古越龙山,"600059",64.0
象屿股份,"600057",25.0
中国医药,"600056",24.185
万东医疗,"600055",80.595
黄山旅游,"600054",30.766
九鼎投资,"600053",16.377
浙江广厦,"600052",9.39
保利地产,"600048",15.018
四川路桥,"600039",11.795
中直股份,"600038",56.497
歌华有线,"600037",25.331
招商银行,"600036",13.24
楚天高速,"600035",18.556
福建高速,"600033",15.495
中国石化,"600028",18.825
华电国际,"600027",11.298
中远海能,"600026",13.171
浙能电力,"600023",12.826
上海电力,"600021",20.663
中原高速,"600020",24.737
宝钢股份,"600019",17.764
上港集团,"600018",24.115
日照港,"600017",67.167
民生银行,"600016",6.878
华夏银行,"600015",5.299
皖通高速,"600012",20.011
华能国际,"600011",11.379
上海机场,"600009",31.596
首创股份,"600008",41.594
中国国贸,"600007",23.985
东风汽车,"600006",51.463
白云机场,"600004",13.736
浦发银行,"600000",5.453
奥飞数据,"300738",43.538
科顺股份,"300737",30.27
圣邦股份,"300661",44.223
江苏雷利,"300660",20.997
延江股份,"300658",23.95
超频三,"300647",31.593
正丹股份,"300641",23.258
扬帆新材,"300637",29.448
同和药业,"300636",30.835
普利制药,"300630",94.316
亿联网络,"300628",15.389
华测导航,"300627",39.281
华瑞股份,"300626",54.208
三雄极光,"300625",20.692
尚品宅配,"300616",53.095
美力科技,"300611",17.098
拓斯达,"300607",43.175
金太阳,"300606",47.8
恒锋信息,"300605",42.205
飞荣达,"300602",30.884
瑞特股份,"300600",31.691
雄塑科技,"300599",27.614
利安隆,"300596",17.031
欧普康视,"300595",21.964
华凯创意,"300592",36.409
万里马,"300591",43.531
移为通信,"300590",15.424
天铁股份,"300587",25.733
赛托生物,"300583",31.048
英飞特,"300582",21.235
开润股份,"300577",37.923
容大感光,"300576",29.07
兴齐眼药,"300573",27.533
星源材质,"300568",15.97
激智科技,"300566",41.67
科信技术,"300565",39.4
神宇股份,"300563",50.362
佳发安泰,"300559",38.433
贝达药业,"300558",59.02
理工光科,"300557",37.172
路通视信,"300555",13.771
集智股份,"300553",55.222
万集科技,"300552",30.305
古鳌科技,"300551",36.988
和仁科技,"300550",37.012
优德精密,"300549",21.688
博创科技,"300548",41.089
雄帝科技,"300546",15.374
先进数通,"300541",41.393
深冷股份,"300540",39.759
同益股份,"300538",58.683
达威股份,"300535",29.922
陇神戎发,"300534",15.142
达志科技,"300530",43.89
健帆生物,"300529",55.692
华舟应急,"300527",61.127
博思软件,"300525",59.757
世名科技,"300522",17.477
新光药业,"300519",11.406
盛讯达,"300518",41.0
三德科技,"300515",29.376
恒泰实达,"300513",57.478
中亚股份,"300512",25.029
雪榕生物,"300511",29.776
金冠电气,"300510",76.471
新美星,"300509",30.593
苏奥传感,"300507",16.646
名家汇,"300506",60.889
昊志机电,"300503",18.773
海顺新材,"300501",27.556
高澜股份,"300499",36.62
温氏股份,"300498",9.483
中科创达,"300496",98.585
润欣科技,"300493",31.171
通合科技,"300491",35.588
华自科技,"300490",54.5
中飞股份,"300489",54.793
赛升药业,"300485",25.796
蓝海华腾,"300484",12.327
万孚生物,"300482",86.854
合纵科技,"300477",69.469
胜宏科技,"300476",34.919
聚隆科技,"300475",29.729
德尔股份,"300473",36.624
新元科技,"300472",139.368
厚普股份,"300471",8.59
日机密封,"300470",43.446
信息发展,"300469",90.449
迈克生物,"300463",40.0
惠伦晶体,"300460",75.118
金科文化,"300459",57.947
全志科技,"300458",25.707
耐威科技,"300456",114.62
三鑫医疗,"300453",64.391
山河药辅,"300452",48.906
创业软件,"300451",80.548
汉邦高科,"300449",85.364
浩云科技,"300448",49.159
乐凯新材,"300446",24.974
康斯特,"300445",57.534
金雷风电,"300443",8.445
美康生物,"300439",37.346
鹏辉能源,"300438",47.345
清水源,"300437",63.545
广生堂,"300436",62.081
中泰股份,"300435",65.208
金石东方,"300434",126.585
富临精工,"300432",27.895
诚益通,"300430",33.036
强力新材,"300429",53.273
红相电力,"300427",53.462
环能科技,"300425",23.487
鲁亿通,"300423",116.304
博世科,"300422",31.516
力星股份,"300421",40.692
浩丰科技,"300419",27.618
苏试试验,"300416",58.767
伊之密,"300415",36.711
金盾股份,"300411",130.926
正业科技,"300410",81.978
三环集团,"300408",33.806
九强生物,"300406",29.291
地尔汉宇,"300403",10.178
劲拓股份,"300400",32.767
飞凯材料,"300398",30.123
迪瑞医疗,"300396",49.463
菲利华,"300395",26.886
天孚通信,"300394",29.67
中来股份,"300393",37.511
艾比森,"300389",26.905
国祯环保,"300388",56.878
富邦股份,"300387",24.246
雪浪环境,"300385",33.117
三联虹普,"300384",45.541
斯莱克,"300382",15.462
溢多利,"300381",39.033
鼎捷软件,"300378",79.75
易事特,"300376",8.341
鹏翎股份,"300375",18.605
汇中股份,"300371",41.723
安控科技,"300370",23.709
创意信息,"300366",21.363
博腾股份,"300363",31.439
天翔环境,"300362",41.516
炬华科技,"300360",14.577
楚天科技,"300358",35.939
我武生物,"300357",59.075
北信源,"300352",28.4
永贵电器,"300351",30.867
金卡智能,"300349",79.625
泰格医药,"300347",124.333
联创互联,"300343",34.861
天银机电,"300342",28.308
麦迪电气,"300341",31.682
天壕环境,"300332",76.625
苏大维格,"300331",103.647
海伦钢琴,"300329",68.0
宜安科技,"300328",124.506
中颖电子,"300327",46.322
德威新材,"300325",77.5
旋极信息,"300324",42.941
华灿光电,"300323",43.714
硕贝德,"300322",59.75
同大股份,"300321",59.378
麦捷科技,"300319",9.137
珈伟股份,"300317",18.681
戴维医疗,"300314",65.955
任子行,"300311",52.72
宜通世纪,"300310",27.231
慈星股份,"300307",55.6
裕兴股份,"300305",30.28
云意电气,"300304",14.549
聚飞光电,"300303",16.087
同有科技,"300302",33.226
富春股份,"300299",27.103
三诺生物,"300298",61.894
蓝盾股份,"300297",32.3
利亚德,"300296",23.322
博雅生物,"300294",33.127
华录百纳,"300291",24.893
荣科科技,"300290",77.183
利德曼,"300289",53.765
安科瑞,"300286",29.544
国瓷材料,"300285",38.578
苏交科,"300284",24.19
温州宏丰,"300283",89.167
汇冠股份,"300282",33.661
金明精机,"300281",92.923
和晶科技,"300279",26.439
阳光电源,"300274",42.61
和佳股份,"300273",80.0
开能环保,"300272",30.368
中威电子,"300270",84.125
兴源环境,"300266",66.676
通光线缆,"300265",22.486
巴安水务,"300262",25.452
新天科技,"300259",40.682
精锻科技,"300258",30.374
开山股份,"300257",138.917
星星科技,"300256",37.153
常山药业,"300255",33.25
仟源医药,"300254",69.178
金信诺,"300252",30.574
初灵信息,"300250",24.15
依米康,"300249",56.656
新开普,"300248",47.071
乐金健康,"300247",45.333
宝莱特,"300246",41.739
迪安诊断,"300244",46.292
瑞丰高材,"300243",129.222
明家联合,"300242",26.966
瑞丰光电,"300241",76.614
美晨生态,"300237",27.709
上海新阳,"300236",100.214
开尔新材,"300234",84.8
金城医药,"300233",27.063
洲明科技,"300232",48.621
永利股份,"300230",18.281
拓尔思,"300229",46.107
正海磁材,"300224",22.0
银禧科技,"300221",40.947
鸿利智汇,"300219",54.476
安利股份,"300218",31.97
东方电热,"300217",83.056
电科院,"300215",91.5
佳讯飞鸿,"300213",19.282
易华录,"300212",74.948
森远股份,"300210",20.571
恒顺众昇,"300208",35.788
欣旺达,"300207",27.389
舒泰神,"300204",24.926
聚光科技,"300203",30.067
聚龙股份,"300202",33.421
海伦哲,"300201",74.831
高盟新材,"300200",36.222
翰宇药业,"300199",46.515
纳川股份,"300198",104.897
长海股份,"300196",9.154
长荣股份,"300195",36.075
福安药业,"300194",8.647
佳士科技,"300193",37.926
维尔利,"300190",47.5
永清环保,"300187",47.591
通裕重工,"300185",46.2
佐力药业,"300181",53.5
华峰超纤,"300180",107.273
四方达,"300179",100.809
腾邦国际,"300178",42.451
朗源股份,"300175",118.5
元力股份,"300174",92.042
中电环保,"300172",34.591
东富龙,"300171",24.351
天晟新材,"300169",109.498
天瑞仪器,"300165",54.833
先锋新材,"300163",42.429
秀强股份,"300160",37.2
瑞凌股份,"300154",39.563
科泰电源,"300153",77.4
昌红科技,"300151",112.333
世纪瑞尔,"300150",31.471
天舟文化,"300148",19.159
香雪制药,"300147",92.1
中金环境,"300145",15.987
宋城演艺,"300144",30.952
和顺电气,"300141",56.889
晨光生物,"300138",33.165
宝利国际,"300135",126.667
青松股份,"300132",94.575
英唐智控,"300131",37.632
泰胜风能,"300129",21.9
锦富技术,"300128",128.5
银河磁体,"300127",44.568
汇川技术,"300124",48.322
瑞普生物,"300119",34.412
东方日升,"300118",11.217
嘉寓股份,"300117",58.364
长盈精密,"300115",25.0
中航电测,"300114",37.269
万讯自控,"300112",101.2
