name,code,pe,industry
蒙娜丽莎,002918,8.176,NULL
金奥博,002917,36.23,NULL
深南电路,002916,28.897,NULL
中欣氟材,002915,45.685,NULL
奥士康,002913,23.942,NULL
中新赛克,002912,35.331,NULL
佛燃股份,002911,30.391,NULL
庄园牧场,002910,52.109,NULL
集泰股份,002909,39.292,NULL
德生科技,002908,60.525,NULL
华阳集团,002906,23.824,NULL
金逸影视,002905,11.126,NULL
宇环数控,002903,28.44,NULL
铭普光磁,002902,38.183,NULL
大博医疗,002901,42.45,NULL
哈三联,002900,14.151,NULL
英派斯,002899,25.035,NULL
赛隆药业,002898,48.771,NULL
意华股份,002897,20.213,NULL
中大力德,002896,41.311,NULL
川恒股份,002895,53.33,NULL
华通热力,002893,40.944,NULL
科力尔,002892,32.253,NULL
中宠股份,002891,37.159,NULL
弘宇股份,002890,33.286,NULL
东方嘉盛,002889,32.39,NULL
惠威科技,002888,37.66,NULL
绿茵生态,002887,7.977,NULL
沃特股份,002886,34.678,NULL
京泉华,002885,28.361,NULL
凌霄泵业,002884,7.853,NULL
中设股份,002883,22.933,NULL
金龙羽,002882,21.372,NULL
美格智能,002881,31.017,NULL
卫光生物,002880,27.835,NULL
长缆科技,002879,13.068,NULL
元隆雅图,002878,21.726,NULL
智能自控,002877,38.682,NULL
安奈儿,002875,23.766,NULL
新天药业,002873,19.972,NULL
天圣制药,002872,13.221,NULL
伟隆股份,002871,17.8,NULL
香山股份,002870,26.25,NULL
金溢科技,002869,25.129,NULL
绿康生化,002868,22.308,NULL
传艺科技,002866,25.966,NULL
钧达股份,002865,32.721,NULL
盘龙药业,002864,67.415,NULL
今飞凯达,002863,23.867,NULL
实丰文化,002862,36.186,NULL
瀛通通讯,002861,29.408,NULL
星帅尔,002860,15.198,NULL
洁美科技,002859,44.582,NULL
力盛赛车,002858,21.971,NULL
三晖电气,002857,26.795,NULL
捷荣技术,002855,39.522,NULL
皮阿诺,002853,30.731,NULL
道道全,002852,12.1,NULL
科达利,002850,20.669,NULL
威星智能,002849,24.219,NULL
盐津铺子,002847,52.389,NULL
英联股份,002846,50.25,NULL
同兴达,002845,24.039,NULL
泰嘉股份,002843,36.73,NULL
翔鹭钨业,002842,27.286,NULL
华统股份,002840,20.779,NULL
张家港行,002839,13.372,NULL
英维克,002837,34.907,NULL
新宏泽,002836,47.5,NULL
名雕股份,002830,52.487,NULL
